-----------------------------------------------------------------------------------------------------------------------------------------------------------
DOC ID (Stable/Temp)                   | FILENAME                            | EXT   | TYPE       | ENB   | SIZE(MB)  | STATUS     | CHUNKS   | REF ID (Old Key)
-----------------------------------------------------------------------------------------------------------------------------------------------------------
d87ab8eec4581477c0fb52f61bd65ecbd2b0bd | KM3.3L501 จำนวนคณะทำงานจัดการความรู้แ   | PNG   | evidence   | KM    | 0.06      | Ingested   | 7        | 3
8c27ae78b7dbdc2b6c94f63a33463e1fed5bc2 | KM1.1L101 นโยบาย ในระบบ KM-Si       | JPG   | evidence   | KM    | 0.29      | Ingested   | 23       | km1
966ca27e43e51fa4ec0e21afd8055bc7bb8eb2 | KM1.1L102 แผนแม่บท ในระบบ KM-Si     | JPG   | evidence   | KM    | 0.19      | Ingested   | 39       | km1
388721f1b027ed34a67c75991cad3f2159a60f | KM1.1L103 แผนแม่บท ปรับปรุงครั้งท   | PDF   | evidence   | KM    | 8.51      | Ingested   | 276      | km11l103-4
cff957dec65514874e6ec4ede22ddfd86b1b0c | KM1.1L104 แผนแม่บท ปรับปรุงครั้งท   | PDF   | evidence   | KM    | 8.51      | Ingested   | 212      | km1
aee8d8e7c9846e153f13c8dbc01808d401becc | KM1.1L105 นโยบาย KM 2567            | PDF   | evidence   | KM    | 0.91      | Ingested   | 5        | km1
629f905b2a845d0634da7bf728ebaf2b7899ce | KM1.1L106 มติบอร์ด ทบทวนแผนครั้งท   | PDF   | evidence   | KM    | 0.09      | Ingested   | 12       | km1
10bd80040a239518988fb3f57788f8172601dc | KM1.1L201 ตัวอย่าง Skill Matrix     | JPG   | evidence   | KM    | 0.17      | Ingested   | 8        | km1
055400e67a784d14f303214667f1cc1290ba32 | KM1.1L202 ประเมิน Skill Matrix      | PNG   | evidence   | KM    | 0.09      | Ingested   | 4        | km1
fe0270c33357362b709e1e0ab06c594343c983 | KM1.1L203 ตัวอย่างคำสั่งแต่งตั้งร   | PDF   | evidence   | KM    | 0.48      | Ingested   | 9        | km1
