
Found 296/314 supported documents for type 'evidence' (Filter: INGESTED (Successful / Unique Doc IDs)):

-----------------------------------------------------------------------------------------------------------------------------------------------------------
DOC ID (Stable/Temp)                   | FILENAME                            | EXT   | TYPE       | ENB   | SIZE(MB)  | STATUS     | CHUNKS   | REF ID (Old Key)
-----------------------------------------------------------------------------------------------------------------------------------------------------------
456a50b8047820644fa849578f7a0dca2d074b | 3.3-5 จำนวนคณะทำงานจัดการความรู้แ   | PNG   | evidence   | KM    | 0.06      | Ingested   | 7        | 33525670000000000000
13dbc874c78ec05f5843c8f5faa53d50d4c927 | KM1.1L101 นโยบาย ในระบบ KM-Si       | JPG   | evidence   | KM    | 0.29      | Ingested   | 23       | km11l101kmsi00000000
c6bf768f040eea54f4a468f807ce6c6d6851bc | KM1.1L102 แผนแม่บท ในระบบ KM-Si     | JPG   | evidence   | KM    | 0.19      | Ingested   | 39       | km11l102kmsi00000000
bde52a6aa9f387d3f173e4431e3190346786d2 | KM1.1L103 แผนแม่บท ปรับปรุงครั้งท   | PDF   | evidence   | KM    | 8.51      | Ingested   | 261      | km11l1034pdf10000000
5053c7b5ebbb4e94a4e1dae3c142937f767ab3 | KM1.1L104 แผนแม่บท ปรับปรุงครั้งท   | PDF   | evidence   | KM    | 8.51      | Ingested   | 181      | km11l104400000000000
fa9fa2b10e219169aabebc5ad003659fc006a5 | KM1.1L105 นโยบาย KM 2567            | PDF   | evidence   | KM    | 0.91      | Ingested   | 5        | km11l105km2567000000
e38efdfb47d82293dcc83ef15557a5a88824bf | KM1.1L106 มติบอร์ด ทบทวนแผนครั้งท   | PDF   | evidence   | KM    | 0.09      | Ingested   | 12       | km11l106400000000000
7c6cf0466dbd4ca1cf0e2ab2f271f4b8cb6b21 | KM1.1L201 ตัวอย่าง Skill Matrix     | JPG   | evidence   | KM    | 0.17      | Ingested   | 8        | km11l201skillmatrix0
c8a5740b331629ab5825a86fd8b088dd5e5af6 | KM1.1L202 ประเมิน Skill Matrix      | PNG   | evidence   | KM    | 0.09      | Ingested   | 4        | km11l202skillmatrix0
bd17f89224708f4abcc89fa3d367310a1037be | KM1.1L203 ตัวอย่างคำสั่งแต่งตั้งร   | PDF   | evidence   | KM    | 0.48      | Ingested   | 9        | km11l203000000000000
1bb6fafe17d66c80af9405a070be1d5f0675c6 | KM1.1L204 อนุมัติหลักการแต่งตั้งค   | PDF   | evidence   | KM    | 0.18      | Ingested   | 43       | km11l20419922566pdf1
23bd5e885aa02141bbe662071449e6af16113d | KM1.1L205 ตัวอย่างคำสั่งแต่งตั้ง    | PDF   | evidence   | KM    | 5.60      | Ingested   | 257      | km11l205000000000000
