2025-10-11 11:27:47,744 | INFO | 🚀 Starting ingestion for all documents in data
2025-10-11 11:27:47,744 | WARNING | ⚠️ Skipping unsupported file type: .DS_Store
2025-10-11 11:27:47,744 | INFO | 📄 Ingesting data/2566-PEA.pdf
2025-10-11 11:27:51,376 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-11 11:27:56,409 | ERROR | Failed to save vectorstore for 2566-PEA: join() argument must be str, bytes, or os.PathLike object, not 'NoneType'
2025-10-11 11:27:56,409 | ERROR | ❌ Error ingesting 2566-PEA.pdf: join() argument must be str, bytes, or os.PathLike object, not 'NoneType'
2025-10-11 11:27:56,409 | INFO | 🎉 Ingestion completed.
2025-10-11 11:31:16,135 | INFO | 🚀 Starting ingestion for all documents in data
2025-10-11 11:31:16,135 | WARNING | ⚠️ Skipping unsupported file type: .DS_Store
2025-10-11 11:31:16,136 | INFO | 📄 Ingesting data/2566-PEA.pdf
2025-10-11 11:31:20,302 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-11 11:31:24,916 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-11 11:31:26,192 | INFO | Processed 2566-PEA.pdf -> doc_id: 2566-PEA (332 chunks) in doc_type=default
2025-10-11 11:31:26,192 | INFO | ✅ Processed 2566-PEA.pdf successfully
2025-10-11 11:31:26,192 | INFO | 🎉 Ingestion completed.
2025-10-11 11:38:18,824 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-11 11:38:23,187 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-11 11:38:24,430 | INFO | Processed 2566-PEA.pdf -> doc_id: 2566-PEA (332 chunks) in doc_type=default
2025-10-11 11:38:24,506 | WARNING | Skipping structured load for sheet 'Summary ข้อใหญ่' - Missing Detail column.
2025-10-11 11:38:24,506 | ERROR | Error processing sheet 'Summary ข้อใหญ่' of KM Scoring Guideline-Concept.xlsx: Missing essential Detail column.
2025-10-11 11:38:24,513 | WARNING | No clear structured header in sheet 'หลักเกณฑ์การให้คะแนน'. Skipping structured load.
2025-10-11 11:38:24,518 | WARNING | Skipping structured load for sheet 'Score-Detail' - Missing Detail column.
2025-10-11 11:38:24,518 | ERROR | Error processing sheet 'Score-Detail' of KM Scoring Guideline-Concept.xlsx: Missing essential Detail column.
2025-10-11 11:38:24,519 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-11 11:38:28,541 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-11 11:38:28,604 | INFO | Processed KM Scoring Guideline-Concept.xlsx -> doc_id: KM Scoring Guideline-Concept (12 chunks) in doc_type=faq
2025-10-11 11:38:31,407 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-11 11:38:35,134 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-11 11:38:37,563 | INFO | Processed PEA คำอธิบาย 2567.pdf -> doc_id: PEA คำอธิบาย 2567 (557 chunks) in doc_type=document
